id,keywords,price_php,price_min_php,price_max_php,category,unit,active,source,confidence,effective,pricing_basis,zero_price,market_source,source_url,review_status,needs_manual_validation,notes
reviewed_shrimp_shell_removed,shrimp shell removed,450,360,540,Meat/Seafood,kg,true,reviewed_market,low,2026-05-29,market_unit,false,PCOSina catalog fallback pending local validation,https://www.dti.gov.ph/konsyumer/e-presyo/,Needs local price validation before import,true,"source=reviewed_market; confidence=low; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=PCOSina catalog fallback pending local validation; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Needs local price validation before import; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=No exact DA-AMAS commodity match. Retained/calibrated from PCOSina current price rule as audit placeholder, validate against local store/public SRP before production import."
reviewed_water,water,1,,,Beverages,l,true,reviewed_market,medium,2026-05-29,market_unit,true,Non-DA audit estimate: Tap/cooking water assumed zero grocery cost for recipe costing; bottled water not used as recipe default,,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; zero_price=true; market_source=Non-DA audit estimate: Tap/cooking water assumed zero grocery cost for recipe costing, bottled water not used as recipe default; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=Tap/cooking water assumed zero grocery cost for recipe costing, bottled water not used as recipe default"
reviewed_chicken_serving,chicken serving,195,195,195,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; whole chicken proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, whole chicken proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, whole chicken proxy"
reviewed_yellow_onion,yellow onion,99,93,99,Produce,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; red onion proxy for generic onion,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, red onion proxy for generic onion; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, red onion proxy for generic onion"
reviewed_shrimp_paste,shrimp paste,180,120,250,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-29,market_unit,false,Non-DA audit estimate: Audit estimate for bagoong/shrimp paste; validate wet market/store source,https://www.dti.gov.ph/konsyumer/e-presyo/,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=Non-DA audit estimate: Audit estimate for bagoong/shrimp paste, validate wet market/store source; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=Audit estimate for bagoong/shrimp paste, validate wet market/store source"
reviewed_ginger,ginger,172,172,172,Produce,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; local ginger,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, local ginger; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, local ginger"
reviewed_soy_sauce,soy sauce,60,45,90,Spices & Condiments,l,true,reviewed_market,medium,2026-05-29,market_unit,false,Non-DA audit estimate: Audit market estimate for soy sauce/toyo; validate against chosen store/SRP list,https://www.dti.gov.ph/konsyumer/e-presyo/,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=Non-DA audit estimate: Audit market estimate for soy sauce/toyo, validate against chosen store/SRP list; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=Audit market estimate for soy sauce/toyo, validate against chosen store/SRP list"
reviewed_knorr_shrimp_cube,knorr shrimp cube,450,360,540,Meat/Seafood,kg,true,reviewed_market,low,2026-05-29,market_unit,false,PCOSina catalog fallback pending local validation,https://www.dti.gov.ph/konsyumer/e-presyo/,Needs local price validation before import,true,"source=reviewed_market; confidence=low; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=PCOSina catalog fallback pending local validation; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Needs local price validation before import; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=No exact DA-AMAS commodity match. Retained/calibrated from PCOSina current price rule as audit placeholder, validate against local store/public SRP before production import."
reviewed_beef,beef,497,445,497,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; general beef proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, general beef proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, general beef proxy"
reviewed_white_onion,white onion,95,95,96,Produce,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; white onion local/imported range,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, white onion local/imported range; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, white onion local/imported range"
reviewed_bay_leaves,bay leaves,650,350,950,Dry Goods,kg,true,reviewed_market,medium,2026-05-29,market_unit,false,"Non-DA audit estimate: Audit estimate for bay leaf; recipes usually use pieces/leaves, not kg quantities",https://www.dti.gov.ph/konsyumer/e-presyo/,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=Non-DA audit estimate: Audit estimate for bay leaf, recipes usually use pieces/leaves, not kg quantities; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=Audit estimate for bay leaf, recipes usually use pieces/leaves, not kg quantities"
reviewed_beef_shank,beef shank,497,445,497,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; general beef proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, general beef proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, general beef proxy"
reviewed_chicken_stock,chicken stock,195,195,195,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; whole chicken proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, whole chicken proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, whole chicken proxy"
reviewed_onion_onion,onion onion,99,93,99,Produce,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; red onion proxy for generic onion,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, red onion proxy for generic onion; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, red onion proxy for generic onion"
reviewed_shrimp_deveined_shell_removed,shrimp deveined shell removed,450,360,540,Meat/Seafood,kg,true,reviewed_market,low,2026-05-29,market_unit,false,PCOSina catalog fallback pending local validation,https://www.dti.gov.ph/konsyumer/e-presyo/,Needs local price validation before import,true,"source=reviewed_market; confidence=low; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=PCOSina catalog fallback pending local validation; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Needs local price validation before import; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=No exact DA-AMAS commodity match. Retained/calibrated from PCOSina current price rule as audit placeholder, validate against local store/public SRP before production import."
reviewed_tomatoes,tomatoes,64,64,64,Produce,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; tomato,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, tomato; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, tomato"
reviewed_garlic_garlic,garlic garlic,146,146,400,Produce,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,"DA exact/proxy: DA-AMAS NCR weekly average retail price; imported garlic default, local/native upper bound",https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact/proxy: DA-AMAS NCR weekly average retail price, imported garlic default, local/native upper bound; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Do not price a clove as 1 kg. Convert cloves/heads to estimated grams before multiplying by kg price.; special_case=Special case: garlic/bawang should use clove/head display but kg-based price. Add gram-per-clove/head assumption before pantry deduction.; reviewer_notes=DA-AMAS NCR weekly average retail price, imported garlic default, local/native upper bound"
reviewed_pork_shoulder_cubes,pork shoulder cubes,348,254,348,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; pork picnic shoulder/kasim proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, pork picnic shoulder/kasim proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, pork picnic shoulder/kasim proxy"
reviewed_calamansi,calamansi,134,134,134,Produce,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; calamansi,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, calamansi; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, calamansi"
reviewed_cooking_oil,cooking oil,98,98,98,Spices & Condiments,l,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; palm cooking oil 1L,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, palm cooking oil 1L; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, palm cooking oil 1L"
reviewed_vinegar,vinegar,50,35,75,Spices & Condiments,l,true,reviewed_market,medium,2026-05-29,market_unit,false,Non-DA audit estimate: Audit market estimate for vinegar/suka; validate against chosen store/SRP list,https://www.dti.gov.ph/konsyumer/e-presyo/,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-29; pricing_basis=market_unit; category_multiplier=none; market_source=Non-DA audit estimate: Audit market estimate for vinegar/suka, validate against chosen store/SRP list; source_url=https://www.dti.gov.ph/konsyumer/e-presyo/; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=Audit market estimate for vinegar/suka, validate against chosen store/SRP list"
reviewed_knorr_pork_cube,knorr pork cube,348,254,403,Meat/Seafood,kg,true,reviewed_market,medium,2026-05-18 to 2026-05-23,market_unit,false,DA proxy: DA-AMAS NCR weekly average retail price; general pork proxy,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready with unit-conversion note; validate special cases,true,"source=reviewed_market; confidence=medium; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA proxy: DA-AMAS NCR weekly average retail price, general pork proxy; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready with unit-conversion note, validate special cases; needs_manual_validation=Yes; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, general pork proxy"
reviewed_string_beans,string beans,111,111,111,Produce,kg,true,reviewed_market,high,2026-05-18 to 2026-05-23,market_unit,false,DA exact: DA-AMAS NCR weekly average retail price; pole sitao/string beans,https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf,Ready for base-price import,false,"source=reviewed_market; confidence=high; effective=2026-05-18 to 2026-05-23; pricing_basis=market_unit; category_multiplier=none; market_source=DA exact: DA-AMAS NCR weekly average retail price, pole sitao/string beans; source_url=https://www.da.gov.ph/wp-content/uploads/2026/05/Weekly-Average-Prices-May-18-23-2026.pdf; review_status=Ready for base-price import; needs_manual_validation=No; unit_note=Standard unit conversion only, validate if recipe uses unusual unit.; special_case=No special case beyond standard unit conversion.; reviewer_notes=DA-AMAS NCR weekly average retail price, pole sitao/string beans"
