recipe_id,calories,protein_grams,carbs_grams,fats_grams,fiber_grams,sodium_mg,sugar_grams,source,confidence,review_status,notes
ph_20,204,3.8,1.7,20.7,0.3,41,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Bicol Express Recipe; source_url=https://panlasangpinoy.com/bicol-express/; source_servings=6; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_21,465,15.0,48.0,23.0,1.0,282,0.4,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobo Fried Rice; source_url=https://panlasangpinoy.com/adobo-fried-rice/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_22,311,1.2,7.0,31.0,1.8,90,2.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pinakbet Tagalog; source_url=https://panlasangpinoy.com/pinakbet-tagalog/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_24,216,4.0,2.6,20.8,0.2,295,1.6,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Sprite Pork Adobo Recipe; source_url=https://panlasangpinoy.com/sprite-pork-adobo-recipe/; source_servings=5; source_recipe_yield=5.0; source_basis=normalized_by_source_recipe_yield
ph_26,927,34.0,6.0,84.0,1.0,1284,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork and Chicken Adobo Recipe; source_url=https://panlasangpinoy.com/pork-and-chicken-adobo/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_28,691,47.0,10.0,51.0,2.0,268,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Mackerel; source_url=https://panlasangpinoy.com/ginataang-mackerel/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_29,305,46.0,6.0,9.0,1.0,1301,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Inihaw na Bangus Recipe (Grilled Milkfish); source_url=https://panlasangpinoy.com/inihaw-na-bangus-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_31,297,2.5,0.5,32.0,0.2,397,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Kawali Recipe; source_url=https://panlasangpinoy.com/lechon-kawali/; source_servings=6; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_33,320,11.0,42.0,13.0,5.0,998,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Canton Recipe; source_url=https://panlasangpinoy.com/pancit-canton-recipe/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_34,297,5.6,2.8,28.8,0.2,317,1.6,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Adobo in Pineapple Juice with Boiled Egg; source_url=https://panlasangpinoy.com/pork-adobo-in-pineapple-juice-with-boiled-egg/; source_servings=5; source_recipe_yield=5.0; source_basis=normalized_by_source_recipe_yield
ph_36,451,5.0,10.0,46.0,1.0,980,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Tilapia Recipe; source_url=https://panlasangpinoy.com/ginataang-tilapia/; source_servings=3; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_38,700,46.0,48.0,38.0,16.0,608,19.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Pochero; source_url=https://panlasangpinoy.com/chicken-pochero/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_39,661,46.0,7.0,49.0,1.0,1910,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Easy Chicken Adobo; source_url=https://panlasangpinoy.com/easy-chicken-adobo/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_42,540,37.0,15.0,36.0,1.0,134,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Manok with Kalabasa Recipe; source_url=https://panlasangpinoy.com/ginataang-manok-with-kalabasa-recipe/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_43,453,21.0,17.0,33.0,3.0,593,12.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Dinuguan Recipe; source_url=https://panlasangpinoy.com/pork-dinuguan-recipe/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_44,281,8.0,36.0,13.0,2.0,30,28.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=How to Cook Ginataang Langka with Pork; source_url=https://panlasangpinoy.com/how-to-cook-ginataang-langka-with-pork/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_45,380,19.0,11.0,29.0,3.0,194,4.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=How to Cook Gising Gising; source_url=https://panlasangpinoy.com/how-to-cook-gising-gising/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_49,517,10.0,4.0,52.5,0.5,202,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=How to Cook Bicol Express; source_url=https://panlasangpinoy.com/how-to-cook-bicol-express/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_50,318,5.0,8.0,29.0,1.0,46,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Gulay Recipe; source_url=https://panlasangpinoy.com/ginataang-gulay-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_52,156,6.0,5.0,12.0,1.0,1123,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Sitaw at Kangkong with Chicharon; source_url=https://panlasangpinoy.com/adobong-sitaw-at-kangkong-with-chicharon/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_53,265,35.0,11.0,7.0,4.0,110,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Paksiw na Bangus Recipe; source_url=https://panlasangpinoy.com/paksiw-na-bangus-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_54,357,41.0,25.0,12.0,9.0,1200,13.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Salmon Sinigang Recipe; source_url=https://panlasangpinoy.com/salmon-sinigang-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_64,528,6.6,0.6,55.8,0.1,85,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Crispy Bicol Express; source_url=https://panlasangpinoy.com/crispy-bicol-express/; source_servings=5; source_recipe_yield=5.0; source_basis=normalized_by_source_recipe_yield
ph_65,444,65.0,9.0,15.0,2.0,4599,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Bangus Recipe; source_url=https://panlasangpinoy.com/sinigang-na-bangus-recipe/; source_servings=3; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_71,604,59.0,26.0,30.0,10.0,2854,14.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Beef Ribs Sinigang; source_url=https://panlasangpinoy.com/beef-ribs-sinigang/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_74,771,54.0,32.0,48.0,12.0,4788,16.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Corned Beef Sinigang; source_url=https://panlasangpinoy.com/corned-beef-sinigang/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_78,301,11.0,34.0,14.0,4.0,784,13.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Lumpiang Sariwa with Fresh Lumpia Wrapper; source_url=https://panlasangpinoy.com/lumpiang-sariwa-with-fresh-lumpia-wrapper/; source_servings=8; source_recipe_yield=8.0; source_basis=source_published_per_serving
ph_94,297,2.5,0.5,32.0,0.2,397,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Kawali; source_url=https://panlasangpinoy.com/lechon-kawali/; source_servings=4; source_recipe_yield=6.0; source_basis=normalized_by_source_recipe_yield
ph_100,268,3.0,3.0,28.0,0.2,1262,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Chop Steak ala Bistek; source_url=https://panlasangpinoy.com/pork-chop-steak-ala-bistek/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_104,306,6.5,1.8,30.2,0.2,536,0.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Extremely Spicy Pork Adobo na Tuyo; source_url=https://panlasangpinoy.com/extremely-spicy-pork-adobo-na-tuyo/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_115,296,2.8,1.0,31.5,0.1,228,0.5,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Crispy Tofu Sisig; source_url=https://panlasangpinoy.com/crispy-tofu-sisig/; source_servings=5; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_117,427,41.0,25.0,19.0,8.0,1297,14.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Beef Short Rib Sinigang Na May Pakwan; source_url=https://panlasangpinoy.com/beef-short-rib-sinigang-na-may-pakwan/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_127,597,11.0,112.0,12.0,7.0,2144,8.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Shrimp Pancit Bihon Recipe; source_url=https://panlasangpinoy.com/filipino-shrimp-pancit-bihon-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_130,504,33.0,5.0,39.0,1.0,1497,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Adobo with Egg; source_url=https://panlasangpinoy.com/chicken-adobo-with-egg/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_140,542,40.0,13.0,38.0,1.0,691,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Seafood Bicol Express; source_url=https://panlasangpinoy.com/seafood-bicol-express/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_153,561,10.5,12.0,56.0,3.0,274,1.5,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Pork Chop Bicol Express Recipe; source_url=https://panlasangpinoy.com/pork-chop-bicol-express/; source_servings=2; source_recipe_yield=2.0; source_basis=normalized_by_source_recipe_yield
ph_162,673,43.0,15.0,48.0,6.0,584,7.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Buntot ng Baboy with Gabi; source_url=https://panlasangpinoy.com/sinigang-na-buntot-ng-baboy-with-gabi/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_176,313,51.0,16.0,6.0,5.0,1816,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Bangus Belly sa Miso; source_url=https://panlasangpinoy.com/sinigang-na-bangus-belly-sa-miso/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_177,264,20.0,8.0,18.0,3.0,1039,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Apan Apan Recipe (Adobong Kangkong with Fried Pork); source_url=https://panlasangpinoy.com/apan-apan-recipe-adobong-kangkong-with-fried-pork/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_181,926,51.0,20.0,76.0,4.0,1666,4.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Seafood Kare Kare Recipe; source_url=https://panlasangpinoy.com/seafood-kare-kare-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_208,315,30.0,11.0,16.0,1.0,1248,0.4,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Liver and Gizzard Adobo; source_url=https://panlasangpinoy.com/chicken-liver-and-gizzard-adobo/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_209,532,27.0,63.0,19.0,5.0,1687,8.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Simple Pancit Palabok Recipe; source_url=https://panlasangpinoy.com/simple-pancit-palabok-recipe/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_216,674,41.5,90.0,16.8,6.0,992,6.0,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Shrimp Pancit Canton Recipe; source_url=https://panlasangpinoy.com/shrimp-pancit-canton-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_217,315,5.0,80.0,1.0,9.0,794,49.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Hipon sa Sampaloc; source_url=https://panlasangpinoy.com/sinigang-na-hipon-sa-sampaloc/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_232,332,6.0,9.8,30.2,1.0,208,6.0,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Sinigang na Liempo sa Sampaloc (Pork Sinigang); source_url=https://panlasangpinoy.com/sinigang-na-liempo-sa-sampaloc/; source_servings=6; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_241,1014,17.0,48.0,85.0,4.0,386,29.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Liempo sa Sampaloc with Gabi; source_url=https://panlasangpinoy.com/sinigang-na-liempo-sa-sampaloc-with-gabi/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_243,333,6.0,3.5,33.0,1.0,216,1.8,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Easy Pork Afritada Recipe; source_url=https://panlasangpinoy.com/easy-pork-afritada/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_253,551,19.0,71.0,21.0,4.0,2254,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Bato Guisado; source_url=https://panlasangpinoy.com/pancit-bato-guisado/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_260,1035,73.0,46.0,63.0,15.0,897,19.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pata Pochero Recipe; source_url=https://panlasangpinoy.com/pata-pochero/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_261,185,16.0,9.0,10.0,1.0,1080,0.3,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Tahong Recipe (Mussels Adobo); source_url=https://panlasangpinoy.com/adobong-tahong-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_265,284,24.0,8.0,17.0,1.0,1281,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Spicy Pork Adobo Recipe; source_url=https://panlasangpinoy.com/spicy-pork-adobo-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_267,481,14.0,53.0,26.0,3.0,1480,4.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pancit Habhab Recipe; source_url=https://panlasangpinoy.com/pancit-habhab-recipe/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_277,847,22.0,39.0,69.0,14.0,847,17.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pochero Recipe; source_url=https://panlasangpinoy.com/pochero/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_280,836,24.0,7.0,80.0,1.0,1015,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Feet Adobo; source_url=https://panlasangpinoy.com/chicken-feet-adobo/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_288,526,59.0,8.0,27.0,1.0,6022,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Isaw Recipe (Small Intestine Adobo); source_url=https://panlasangpinoy.com/adobong-isaw/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_298,156,6.0,5.0,12.0,1.0,1123,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Sitaw Recipe; source_url=https://panlasangpinoy.com/adobong-sitaw/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_304,866,19.0,34.0,75.0,4.0,845,8.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Lumpiang Togue Recipe; source_url=https://panlasangpinoy.com/lumpiang-togue/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_305,2361,3.5,48.0,239.2,1.2,744,40.2,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Lechon Paksiw Recipe; source_url=https://panlasangpinoy.com/lechon-paksiw-recipe/; source_servings=4; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_307,578,27.0,6.0,49.0,1.0,107,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Shared Recipe: Tortang Talong with Giniling; source_url=https://panlasangpinoy.com/shared-recipe-tortang-talong-with-giniling/; source_servings=3; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_315,45,6.0,7.0,0.2,1.0,2595,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Inihaw na Pusit Recipe (Grilled Squid); source_url=https://panlasangpinoy.com/inihaw-na-pusit/; source_servings=5; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_316,523,40.0,35.0,27.0,11.0,656,11.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Beef Pochero Recipe; source_url=https://panlasangpinoy.com/beef-pochero/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_324,318,5.0,8.0,29.0,1.0,46,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Gulay (Filipino Vegetable Stew in Coconut Milk); source_url=https://panlasangpinoy.com/ginataang-gulay/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_331,695,17.0,20.0,61.0,3.0,2406,11.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Kilawin (Filipino Grilled Pork with Tangy Vinegar Sauce); source_url=https://panlasangpinoy.com/pork-kilawin/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_333,435,53.0,26.0,16.0,9.0,1657,12.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang Sa Miso; source_url=https://panlasangpinoy.com/sinigang-sa-miso/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_335,463,4.0,14.0,46.0,4.0,143,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Tulingan (Bullet Tuna in Coconut Milk); source_url=https://panlasangpinoy.com/ginataang-tulingan/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_336,313,51.0,16.0,6.0,5.0,1816,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Bangus (Filipino Milkfish Sour Soup); source_url=https://panlasangpinoy.com/sinigang-na-bangus/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_339,512,13.0,41.0,38.0,11.0,210,13.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Kalabasa at Sitaw (Squash and String Beans in Coconut Milk); source_url=https://panlasangpinoy.com/ginataang-kalabasa-at-sitaw/; source_servings=6; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_340,294,13.0,25.0,17.0,6.0,61,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Ginataang Talong (Eggplant and Pork in Coconut Milk); source_url=https://panlasangpinoy.com/ginataang-talong/; source_servings=6; source_recipe_yield=3.0; source_basis=source_published_per_serving
ph_350,156,6.0,5.0,12.0,1.0,1123,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Sitaw (Filipino String Bean Adobo); source_url=https://panlasangpinoy.com/adobong-sitaw/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_357,650,37.0,10.0,51.0,3.0,868,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pork Caldereta (Kalderetang Baboy); source_url=https://panlasangpinoy.com/pork-caldereta/; source_servings=6; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_363,714,50.0,9.0,53.0,2.0,783,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Chicken Caldereta (Kalderetang Manok); source_url=https://panlasangpinoy.com/chicken-caldereta/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_375,138,3.0,8.0,11.0,2.0,762,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Itlog (Filipino Egg Adobo); source_url=https://panlasangpinoy.com/adobong-itlog/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_384,447,15.0,10.0,38.0,2.0,425,2.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Sizzling Tofu Sisig; source_url=https://panlasangpinoy.com/sizzling-tofu-sisig/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_390,771,54.0,32.0,48.0,12.0,4788,16.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Corned Beef Sinigang; source_url=https://panlasangpinoy.com/corned-beef-sinigang/; source_servings=4; source_recipe_yield=5.0; source_basis=source_published_per_serving
ph_392,185,16.0,9.0,10.0,1.0,1080,0.3,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Adobong Tahong (Filipino Mussels Adobo); source_url=https://panlasangpinoy.com/adobong-tahong/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_400,925,57.0,21.0,68.0,8.0,473,10.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Sinigang na Baka (Filipino Sour Beef Soup); source_url=https://panlasangpinoy.com/sinigang-na-baka/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_404,348,5.8,0.8,35.5,0.2,280,,panlasang_pinoy_recipe_card_yield_normalized,high,source_verified,title=Filipino Lechon Kawali (Crispy Pork Belly); source_url=https://panlasangpinoy.com/filipino-lechon-kawali/; source_servings=8; source_recipe_yield=4.0; source_basis=normalized_by_source_recipe_yield
ph_406,364,30.0,13.0,21.0,3.0,660,6.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Pork Afritada (Afritadang Baboy); source_url=https://panlasangpinoy.com/pork-afritada/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_408,502,43.0,2.0,34.0,1.0,928,1.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Pesang Manok (Filipino Ginger Chicken Soup); source_url=https://panlasangpinoy.com/pesang-manok/; source_servings=4; source_recipe_yield=6.0; source_basis=source_published_per_serving
ph_412,214,4.0,20.0,13.0,2.0,1075,9.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Filipino Chop Suey (Chopsuey) Recipe; source_url=https://panlasangpinoy.com/chop-suey/; source_servings=6; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_422,265,35.0,11.0,7.0,4.0,110,5.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Paksiw na Bangus (Filipino Milkfish in Vinegar Stew); source_url=https://panlasangpinoy.com/paksiw-na-bangus/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
ph_425,247,14.0,6.0,19.0,1.0,480,3.0,panlasang_pinoy_recipe_card_per_serving,high,source_verified,title=Binagoongang Talong (Filipino Eggplant with Shrimp Paste); source_url=https://panlasangpinoy.com/binagoongang-talong/; source_servings=4; source_recipe_yield=4.0; source_basis=source_published_per_serving
