recipe_id,calories,protein_grams,carbs_grams,fats_grams,fiber_grams,sodium_mg,sugar_grams,source,confidence,review_status,notes,draft_status,matched_ingredient_count,unmatched_ingredients,fdc_matches
ph_35,66,7.0,1.3,3.6,0.1,16,0.2,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,3,6 pieces dried bay leaves (ignored seasoning/water) | 4 pieces star anise optional (no FDC match for star anise) | 6 teaspoons salt (ignored seasoning/water) | 2 teaspoons ground black pepper (no FDC match for pepper) | 12 cups water (ignored seasoning/water) | 6 cups cooking oil (ignored frying oil reserve),"1 piece whole pig leg cleaned => pork [100.0g, FDC local:pork] | 2 tablespoons whole peppercorn => peppercorn [16.0g, FDC local:corn] | 2 teaspoons garlic powder => garlic powder [5.3g, FDC local:garlic]"
ph_37,850,16.4,14.9,80.4,3.4,656,2.7,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,7,3 pieces long green chili pepper siling pansigang (no FDC match for chili pepper siling pansigang) | 1 cup sliced daikon radish labanos (no FDC match for daikon radish labanos) | 10 to 12 pieces snake beans cut in 2 inch length pieces (no FDC match for snake beans cut in inch length) | 8 cups water (ignored seasoning/water) | 2 packs Knorr Sinigang sa Sampaloc Mix Original (20 gram pack) (no FDC match for packs knorr sinigang sa sampaloc mix original) | 1/4 teaspoon ground black pepper (no FDC match for pepper),"2 lbs. pork belly sliced into cubes => pork belly into cubes [907.2g, FDC local:pork belly] | 2 to 3 cups kangkong leaves => kangkong leaves [75.0g, FDC local:spinach] | 2 pieces tomato quartered => tomato quartered [240.0g, FDC local:tomato] | 1 piece onion quartered => onion quartered [110.0g, FDC local:onion] | 15 pieces okra => okra [180.0g, FDC local:okra] | 2 pieces taro peeled and cut in half (gabi) => taro and cut in half [200.0g, FDC local:taro] | 3 tablespoons fish sauce patis => fish sauce patis [45.0g, FDC local:fish sauce]"
ph_40,313,37.9,15.2,10.2,1.4,1066,3.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,8,1 cup water (ignored seasoning/water) | Salt and pepper to taste (ignored seasoning/water),"2 lbs. medium-sized squid => -sized squid [907.2g, FDC local:squid] | 1 piece onion => onion [110.0g, FDC local:onion] | 2 pieces tomatoes => tomatoes [240.0g, FDC local:tomato] | 1/2 cup soy sauce => soy sauce [70.0g, FDC local:soy sauce] | 1/2 cup vinegar => vinegar [70.0g, FDC local:vinegar] | 5 cloves crushed garlic => garlic [15.0g, FDC local:garlic] | 1 teaspoon sugar => sugar [4.2g, FDC local:sugar] | 2 tbsp cooking oil => cooking oil [27.2g, FDC local:cooking oil]"
ph_41,128,10.9,8.3,5.4,1.2,27,1.0,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,5,2 packs Knorr Ginataang Gulay Recipe Mix 40 grams each (no FDC match for packs knorr ginataang gulay recipe mix each) | 5 pieces Thai chili pepper (no FDC match for thai chili pepper) | 5 cups water (ignored seasoning/water),"4 ounces dried taro leaves => dried taro leaves [113.4g, FDC local:taro] | 1/2 lb pork sliced into 1/4 inch thick pieces => pork into inch thick [226.8g, FDC local:pork] | 5 cloves garlic crushed => garlic [15.0g, FDC local:garlic] | 2 thumbs ginger crushed => ginger [30.0g, FDC local:ginger] | 1 piece onion sliced into thin strips => onion into thin strips [110.0g, FDC local:onion]"
ph_46,473,37.4,7.5,31.5,1.3,925,2.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=5. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,5,4 pieces calamansi or 1-piece lemon (no FDC match for calamansi or - lemon) | 1/2 tsp ground black pepper (no FDC match for pepper) | 1 cup water (ignored seasoning/water) | 1 pinch salt (no FDC match for pinch salt),"1 1/2 lbs beef sirloin thinly sliced => beef sirloin thinly [680.4g, FDC local:beef] | 5 tablespoons soy sauce => soy sauce [75.0g, FDC local:soy sauce] | 3 cloves garlic minced => garlic [9.0g, FDC local:garlic] | 3 pieces onion sliced into rings => onion into rings [330.0g, FDC local:onion] | 4 tablespoons cooking oil => cooking oil [54.4g, FDC local:cooking oil]"
ph_47,1013,71.8,17.5,72.2,4.4,1004,4.5,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,10,1 piece small banana flower bud sliced (no FDC match for banana flower bud) | 1 bundle string beans cut into 2 inch slices (no FDC match for string beans) | 34 Ounces water about 1 Liter (no FDC match for water about liter) | salt and pepper (ignored seasoning/water),"3 lbs oxtail cut in 2 inch slices you an also use tripe or beef slices => oxtail cut in inch slices you an also use tripe or beef slices [1360.8g, FDC local:beef] | 1 bundle pechay or bok choy => bok choy or bok choy [150.0g, FDC local:bok choy] | 4 pieces eggplants sliced => eggplants [200.0g, FDC local:eggplant] | 1 cup ground peanuts => peanuts [140.0g, FDC local:peanuts] | 1/2 cup peanut butter => peanut butter [70.0g, FDC local:peanut butter] | 1/2 cup shrimp paste => shrimp paste [70.0g, FDC local:shrimp paste] | 1/2 cup annatto seeds soaked in a cup of water => annatto seeds soaked in a of water [120.0g, FDC local:annatto oil] | 1/2 cup toasted ground rice => rice [120.0g, FDC local:rice] | 1 tbsp garlic minced => garlic [8.0g, FDC local:garlic] | 1 piece onion chopped => onion [110.0g, FDC local:onion]"
ph_48,698,91.0,24.0,24.1,4.1,367,5.6,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,7,1 pack Knorr Ginataang Gulay Mix 45 grams (no FDC match for pack knorr ginataang gulay mix) | 3/4 cup chopped celery (no FDC match for celery) | 1 1/2 tablespoons curry powder (no FDC match for curry powder) | 3 pieces long green chili pepper (no FDC match for chili pepper) | 2 cups water (ignored seasoning/water) | 1/4 teaspoon ground black pepper (no FDC match for pepper),"2 1/2 lbs. chicken cut into serving pieces => chicken [1134.0g, FDC local:chicken] | 2 pieces baking potato cubed => baking potato [340.0g, FDC local:potato] | 2 pieces red bell pepper sliced into squares => bell pepper into squares [240.0g, FDC local:bell pepper] | 2 pieces red onions chopped => onions [220.0g, FDC local:onion] | 3 cloves garlic chopped => garlic [9.0g, FDC local:garlic] | 4 tablespoons cooking oil => cooking oil [54.4g, FDC local:cooking oil] | 1 1/2 teaspoons fish sauce => fish sauce [7.5g, FDC local:fish sauce]"
ph_51,1131,25.2,5.2,111.6,1.0,78,2.4,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,6,3 tablespoons Knorr Liquid Seasoning (no FDC match for knorr liquid seasoning) | 1 lb. pig face maskara (no FDC match for pig face maskara) | 1/2 cup chicharon crumbled (no FDC match for chicharon crumbled) | 1/4 teaspoon ground black pepper (no FDC match for pepper) | 1/2 teaspoon chili flakes optional (no FDC match for chili flakes) | 1 tablespoon butter (no FDC match for butter) | 2 quarts water (ignored seasoning/water),"1 1/2 lbs. Pork belly => pork belly [680.4g, FDC local:pork belly] | 4 ounces chicken liver => chicken liver [113.4g, FDC local:chicken] | 2 pieces onion => onion [220.0g, FDC local:onion] | 3 tablespoons Ladys Choice Mayonnaise => ladys choice cooking oil [40.8g, FDC local:cooking oil] | 2 teaspoons onion powder => onion powder [5.3g, FDC local:onion] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_55,114,1.0,5.3,10.3,0.8,591,1.7,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,5,"1 lb. lechon kawali chopped (no FDC match for lechon kawali) | 1 45g pack Knorr Ginataang Gulay Recipe Mix (no FDC match for 45g pack knorr ginataang gulay recipe mix) | 23 pieces long green beans Baguio beans, cut into 2 inch pieces (no FDC match for beans baguio beans) | 1/4 teaspoon ground black pepper (no FDC match for pepper) | 2 cups water (ignored seasoning/water)","1/2 small Butternut squash or kalabasa cubed => butternut squash or squash [50.0g, FDC local:squash] | 1 medium onion minced => onion [110.0g, FDC local:onion] | 4 cloves garlic crushed and chopped => garlic and [12.0g, FDC local:garlic] | 2 tablespoons fish sauce => fish sauce [30.0g, FDC local:fish sauce] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_56,472,63.9,10.8,17.8,1.9,474,2.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,10,Salt and ground black pepper to taste (ignored seasoning/water),"2 1/2 lbs. chicken cut into serving pieces => chicken [1134.0g, FDC local:chicken] | 1 large baking potato cubed => baking potato [170.0g, FDC local:potato] | 1 medium carrot cubed => carrot [60.0g, FDC local:carrot] | 1 red bell pepper sliced => bell pepper [120.0g, FDC local:bell pepper] | 1/2 cup shredded sharp cheddar cheese => shredded sharp cheddar cheese [70.0g, FDC local:cheese] | 1 8 oz. can tomato sauce => . can tomato sauce [120.0g, FDC local:tomato] | 2 to 3 cups chicken broth => chicken broth [600.0g, FDC local:broth] | 1 medium onion minced => onion [110.0g, FDC local:onion] | 4 cloves garlic crushed => garlic [12.0g, FDC local:garlic] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_57,773,50.8,10.5,58.6,3.0,981,4.7,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=5. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,8,1 1/2 cups long green beans cut in 1 inch pieces (no FDC match for beans cut in inch) | 5 to 10 pieces Thai chili pepper (no FDC match for thai chili pepper) | 4 to 6 cups water (no FDC match for water) | Ground black pepper to taste (ignored seasoning/water),"2 lbs. Beef chuck paypay, cubed => beef chuck paypay [907.2g, FDC local:beef] | 2 cups baby spinach => baby spinach [60.0g, FDC local:spinach] | 1 medium red onion chopped => onion [110.0g, FDC local:onion] | 3 thumbs ginger sliced into thin strips => ginger into thin strips [45.0g, FDC local:ginger] | 2 cups coconut milk => coconut milk [480.0g, FDC local:coconut milk] | 3 to 4 tablespoons fish sauce patis => fish sauce patis [52.5g, FDC local:fish sauce] | 4 cloves garlic chopped => garlic [12.0g, FDC local:garlic] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_58,1173,24.6,6.2,116.1,1.1,78,2.8,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=5. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,6,"1 1/2 tablespoons Knorr Liquid Seasoning (no FDC match for knorr liquid seasoning) | 1 piece lemon (no FDC match for lemon) | 4 cups water (ignored seasoning/water) | 4 to 5 pieces Thai chili pepper optional, chopped (no FDC match for thai chili pepper) | 1/4 teaspoon ground black pepper (no FDC match for pepper) | 1 tablespoon margarine or butter (no FDC match for margarine or butter)","2 lbs pork belly => pork belly [907.2g, FDC local:pork belly] | 4 ounces chicken liver => chicken liver [113.4g, FDC local:chicken] | 1/4 cup Lady's Choice Mayonnaise => lady s choice cooking oil [54.5g, FDC local:cooking oil] | 3 medium onions => onions [330.0g, FDC local:onion] | 1/2 teaspoon garlic powder optional => garlic powder [1.3g, FDC local:garlic] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_59,350,24.3,4.9,25.1,1.4,98,1.3,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=4. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,5,1 45g pack Knorr Ginataang Gulay Recipe Mix (no FDC match for 45g pack knorr ginataang gulay recipe mix) | 4 pieces long green chili pepper (no FDC match for chili pepper) | 3 to 4 pieces Thai chili pepper optional (no FDC match for thai chili pepper) | 1 1/2 cups water (no FDC match for water) | 1/4 teaspoon ground black pepper (no FDC match for pepper) | Salt to taste optional (ignored seasoning/water),"1 lb. Salmon fillet => salmon fillet [453.6g, FDC local:salmon] | 1 bunch fresh spinach => spinach [150.0g, FDC local:spinach] | 1 medium onion sliced => onion [110.0g, FDC local:onion] | 4 cloves garlic crushed => garlic [12.0g, FDC local:garlic] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_60,144,8.0,27.4,1.1,7.8,604,11.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,5,"2.2 lbs. Sugpo Tiger prawn (no FDC match for sugpo tiger prawn) | 1 40g pack Knorr Sinigang sa Sampaloc Mix, Original (no FDC match for 40g pack knorr sinigang sa sampaloc mix original) | 1 medium Labanos Daikon radish, sliced (no FDC match for labanos daikon radish) | 3 to 5 pieces siling pansigang long green pepper (no FDC match for siling pansigang pepper) | 1/8 teaspoon ground black pepper (no FDC match for pepper) | 2 quarts water (ignored seasoning/water)","4 to 6 pieces Okra => okra [60.0g, FDC local:okra] | 12 to 15 pieces Sitaw Snake Beans, cut in 2 inch pieces => yardlong beans snake beans cut in inch [1350.0g, FDC local:yardlong beans] | 3 medium tomato wedged => tomato [360.0g, FDC local:tomato] | 3 medium yellow onion wedged => onion [330.0g, FDC local:onion] | 3 tablespoons patis fish sauce => patis fish sauce [45.0g, FDC local:fish sauce]"
ph_61,918,24.8,16.3,84.2,3.2,1533,5.3,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=5. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,11,4 medium ripe saba banana (no FDC match for saba banana) | 12 pieces long green beans (no FDC match for beans) | ground white pepper to taste (ignored seasoning/water),"1 1/2 lbs. pork belly cut into cubes => pork belly [680.4g, FDC local:pork belly] | 2 bunches baby bok choy => baby bok choy [300.0g, FDC local:bok choy] | 1 piece Chorizo de Bilbao => pork de bilbao [100.0g, FDC local:pork] | 4 medium ripe tomato wedged => tomato [480.0g, FDC local:tomato] | 1 medium potato cubed => potato [170.0g, FDC local:potato] | 4 ounces tomato sauce => tomato sauce [113.4g, FDC local:tomato] | 1 medium yellow onion chopped => onion [110.0g, FDC local:onion] | 3 cloves garlic crushed and chopped => garlic and [9.0g, FDC local:garlic] | 6 to 8 cups beef broth or pork broth => beef broth or pork broth [1680.0g, FDC local:broth] | 2 1/2 tablespoons fish sauce => fish sauce [37.5g, FDC local:fish sauce] | 3 tablespoons cooking oil => cooking oil [40.8g, FDC local:cooking oil]"
ph_62,1146,115.9,11.2,66.1,1.7,771,3.9,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=8. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,7,15 to 20 pieces long green beans Baguio beans (no FDC match for beans baguio beans) | 12 to 15 cups water (no FDC match for water),"7.5 lbs. Beef shank bulalo => beef shank bulalo [3401.9g, FDC local:beef] | 1 Knorr beef cube => knorr beef cube [100.0g, FDC local:beef] | 1 bunch Napa cabbage pechay Baguio => napa cabbage bok choy baguio [150.0g, FDC local:bok choy] | 2 pieces sweet corn divided into 3 parts => sweet corn divided into parts [200.0g, FDC local:corn] | 4 medium yellow onion wedged => onion [440.0g, FDC local:onion] | 1 tablespoon whole peppercorn => peppercorn [8.0g, FDC local:corn] | 3 tablespoons fish sauce patis => fish sauce patis [45.0g, FDC local:fish sauce]"
ph_63,1022,18.4,19.0,96.8,3.7,173,5.6,local_reference_ingredient_sum_draft,api_estimate,pending_review,"Draft only: summed local reference ingredient profiles and divided by source_servings=6. Reviewer must verify ingredient matches, edible yield, oil absorption, and serving size before marking reviewed.",draft_partial_match,11,3 to 4 cups water (no FDC match for water) | Salt and ground black pepper to taste (ignored seasoning/water),"2 lbs. pork belly cubed => pork belly [907.2g, FDC local:pork belly] | 1 small red bell pepper sliced into small squares => bell pepper into squares [120.0g, FDC local:bell pepper] | 1 small green bell pepper sliced into small squares => bell pepper into squares [120.0g, FDC local:bell pepper] | 3 medium ripe tomato wedged => tomato [360.0g, FDC local:tomato] | 4 ounces Filipino style tomato sauce => filipino style tomato sauce [113.4g, FDC local:tomato] | 3 ounces liver spread => liver spread [85.0g, FDC local:liver spread] | 2 medium potato diced => potato [340.0g, FDC local:potato] | 1 medium carrot diced => carrot [60.0g, FDC local:carrot] | 1 medium yellow onion diced => onion [110.0g, FDC local:onion] | 4 cloves garlic crushed and chopped => garlic and [12.0g, FDC local:garlic] | 6 tablespoons cooking oil => cooking oil [81.6g, FDC local:cooking oil]"
